what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337085912303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337085914988
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337085916487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086039432
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086043142
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086116135
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086361084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086402368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086404619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086406567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086412394
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086428047
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086430026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086439681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086441201
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086463382
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086467473
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1337086510788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086648076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086654195
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086665849
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086673898
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086687616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086701355
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086747844
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086753058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086800198
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086801877
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086838309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086856438
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337086964209
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337087107116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337087230701
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337087230840
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337087343818
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337087484264
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337087484861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337088432531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337088434996
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092194574
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092202215
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092204993
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092215865
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092217834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092226935
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092228961
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092257070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092259025
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092282559
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092284206
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092284642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092287311
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092303613
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092305926
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337092324645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092343836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092346279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092489000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092491843
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1337092538731
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1337092540042
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337092546723
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1337092556557
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1337092556589
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092705563
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092803515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092954276
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092954411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092958364
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337092958516
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337093239829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337093388685
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337093388831
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337093926532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337094133203
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337094353162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337094469834
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337094561549
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337094563091
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337094563781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337095285472
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337095314570
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337095327820
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337096457696
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337097527830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337097549619
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097551727
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097583604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1337097583613
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097585600
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097644266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337097690504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097692670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097697767
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1337097697788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097699110
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097721671
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097735568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097738889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097739418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097762445
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337097803026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097805237
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097809527
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1337097809547
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097810337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097832295
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097866931
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097903101
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097904458
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097928673
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1337097983035
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097988867
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097993134
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1337097993156
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337097995672
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098002990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337098106147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098107629
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098111020
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1337098111045
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098111970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098122310
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098163714
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098188076
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098196763
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098199579
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098200589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098215053
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098216295
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098252666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098280257
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337098306154
