what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337101409587
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337101645721
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337101648757
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337101651933
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337101728046
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1337101730001
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1337101829370
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337101833135
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102080626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102104084
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102106785
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102120780
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102123561
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102149346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102154082
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102165569
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102185680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102360226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337102363341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102364195
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102404309
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337102409341
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102411525
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102430495
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337102430550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102433417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102452347
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337102453818
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337102468939
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337102937145
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102938420
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102960693
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337102960739
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102972823
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102989177
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337102997707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103074172
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337103074877
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337103076004
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1337103325636
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1337103330147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103360994
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103361095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103382962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103383013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103393537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103412078
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1337103500370
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337103500911
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103502642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103525421
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1337103525464
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103531912
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103535513
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337103540307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103547439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103547544
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337103575801
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1337103575935
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1337103584353
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1337103586063
